PO:0006376	tassel apical meristem	雄穂頂分裂組織   
PO:0006377	tassel spikelet meristem	雄穂（花）の小穂分裂組織   
PO:0006378	ear spikelet meristem	雌穂（花）小穂分裂組織   
PO:0006379	tassel spikelet rachilla	雄穂（花）の小穂小軸   
PO:0006380	ear spikelet rachilla	雌穂（花）小穂小軸   
PO:0006385	lower glume of pedicellate spikelet of tassel	雄穂（花）の有柄小穂の第一苞頴(first glume)   
PO:0006386	lower glume of sessile spikelet of tassel	雄穂（花）の無柄小穂の第一苞頴(first glume)   
PO:0006387	upper glume of sessile spikelet of tassel	雄穂（花）の無柄小穂の第二苞頴(second glume)   
PO:0006388	upper glume of pedicellate spikelet of tassel	雄穂（花）の有柄小穂の第二苞頴(second glume)   
PO:0006389	rachilla of sessile spikelet of tassel	雄穂（花）の無柄小穂の花序軸   
PO:0006390	rachilla of pedicellate spikelet of tassel	雄穂（花）の有柄小穂の花序軸   
PO:0006415	pedicel of ear spikelet	雌穂（花）小穂の小花柄   
PO:0006416	pedicel of tassel spikelet	雄穂（花）小穂の小花柄   
PO:0006417	tassel peduncle	雄穂花梗   
PO:0006418	ear peduncle	雌穂花柄   
PO:0006435	rachilla of pedicellate spikelet of ear	雌穂（花）の有柄小穂の小軸   
PO:0006436	rachilla of sessile spikelet of ear	雌穂（花）の無柄小穂の小軸   
PO:0006437	lower glume of pedicellate spikelet of ear	雌穂（花）の有柄小穂の第一苞頴(first glume)   
PO:0006438	lower glume of sessile spikelet of ear	雌穂（花）の無柄小穂の第一苞頴(first glume)   
PO:0006439	upper glume of pedicellate spikelet of ear	雌穂（花）の有柄小穂の第二苞頴(second glume)   
PO:0006440	upper glume of sessile spikelet of ear	雌穂（花）の無柄小穂の第二苞頴(second glume)   
PO:0006501	leaf abscission zone	葉離層帯   
PO:0006502	flower abscission zone	落花帯（層）   
PO:0006503	fruit abscission zone	落果実 (fruit shedding zone)   
PO:0006504	leaf trichome	葉毛（毛茸、糸状体）   
PO:0006505	central spike of ear	雌穂（花）中央の穂   
PO:0008001	fruit distal end	果実 遠位端   
PO:0008002	fruit proximal end	果実 近位端   
PO:0008003	fruit vascular system	果実維管 系   
PO:0008005	fruit nucellus	果実珠心   
PO:0008006	nucellar epidermis	珠心 表皮   
PO:0008007	nucellar projection	珠心突起   
PO:0008008	modified aleurone	特殊化した糊粉、修飾アリューロン
PO:0008009	abaxial nucellar projection	背軸側珠心突起   
PO:0008010	adaxial nucellar projection	向軸側珠心突起   
PO:0008011	embryo vascular system	胚維管系   
PO:0008012	stigma vascular system	柱頭維管系   
PO:0008013	anther vascular system	葯維管系   
PO:0008014	filament vascular system	花糸維管 系   
PO:0008015	hypocotyl vascular system	胚軸維管系   
PO:0008016	vegetative shoot apical meristem	栄養シュート頂端分裂組織   
PO:0008017	leaf sheath pulvinus	葉鞘葉枕   
PO:0008018	transition vascular leaf	維管束植物の幼葉と成熟葉の移行期の葉   
PO:0008019	leaf lamina base	葉身基部   
PO:0008020	central zone of the leaf lamina	葉身(葉片)の中央帯
PO:0008021	tertiary leaf vein	三次葉脈   
PO:0008022	quaternary leaf vein	四次葉脈   
PO:0008023	higher order leaf vein	高次葉脈   
PO:0008024	petiole proximal end	葉柄 近位端   
PO:0008025	central zone of the petiole	葉柄の中央帯   
PO:0008026	petiole distal end	葉柄遠位端   
PO:0008027	petiole adaxial epidermis	葉柄向軸側 表皮   
PO:0008028	reproductive shoot apical meristem	生殖シュート頂端 分裂組織   
PO:0008029	petiole abaxial epidermis	葉柄背軸側 表皮   
PO:0008030	trichome cell	毛（毛茸、糸状体）細胞   
PO:0008031	trichome branch	毛上の分枝   
PO:0008032	stomatal pore	気孔開口部   
PO:0008034	leaf whorl	葉輪生   
PO:0008035	plerome	原中心柱   
PO:0008036	periblem	原皮層   
PO:0008037	seedling	芽生え、実生
PO:0008038	adventitious root primordium	不定根根原基（可視的）
PO:0008039	stem base	茎基部   
PO:0008040	lodicule primordium	鱗被原基（可視的）  
PO:0008041	stem internode elongation zone	茎節間伸長帯（層）
PO:0008042	stem internode differentiation zone	茎節間分化帯（層） 
PO:0008043	floral epidermis	花表皮   
PO:0008044	floral stomatal complex	花気孔装置   
PO:0008045	floral guard cell	花孔辺細胞   
PO:0008046	floral stomatal pore	花気孔開口部   
PO:0008047	scutellar vascular system	胚盤維管系   
PO:0008048	scutellar epithelium	胚盤上皮細胞   
PO:0009000	pulvinus	葉枕   
PO:0009001	fruit	果実   
PO:0009002	plant cell	植物細胞   
PO:0009003	sporophyte	胞子体   
PO:0009004	gametophyte	配偶体   
PO:0009005	root	根   
PO:0009006	shoot system	シュート系、苗条系   
PO:0009007	portion of plant tissue	植物組織の一部   
PO:0009008	plant organ	植物 器官   
PO:0009009	plant embryo	植物胚   
PO:0009010	seed	種子   
PO:0009011	plant structure	植物 構造   
PO:0009012	plant structure development stage	植物構造発生過程
PO:0009013	meristem	分裂組織   
PO:0009014	dermal tissue	表皮組織   
PO:0009015	portion of vascular tissue	維管束細胞の一部   
PO:0009016	ground tissue	基本組織
PO:0009017	inflorescence branch pulvinus	花序枝葉枕   
